username,user_id,access_hash,group,group_id,status
LilMeloBitget,1911597156,3224199274327356361,Bitget Web3 钱包中文社区—私聊的都是骗子,1968877317,UserStatusRecently
asddhje,5236863160,-2804981922683405015,Bitget Web3 钱包中文社区—私聊的都是骗子,1968877317,UserStatusOffline
iKun_god,5551325969,2916496939329338947,Bitget Web3 钱包中文社区—私聊的都是骗子,1968877317,UserStatusRecently
Btcjakepool,5641777963,7288325199424227641,Bitget Web3 钱包中文社区—私聊的都是骗子,1968877317,UserStatusRecently
david27001,5662618763,7001236559516757427,Bitget Web3 钱包中文社区—私聊的都是骗子,1968877317,UserStatusRecently
JSJ2222,5868146195,3376107911629556697,Bitget Web3 钱包中文社区—私聊的都是骗子,1968877317,UserStatusRecently
ssanman,1413272269,706924692435978984,Bitget Web3 钱包中文社区—私聊的都是骗子,1968877317,UserStatusRecently
downcenchen,750434686,4373262460352534151,Bitget Web3 钱包中文社区—私聊的都是骗子,1968877317,UserStatusOffline
